name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Chocolate milk, made from dry mix with whole milk",81,3.36,9.94,9.55,0.3,3.14,1.885,0.646,0.101,11,30,1.7,1,143,0,158,44
"Chocolate milk, made from dry mix with reduced fat milk",72,3.42,10.16,9.62,0.3,1.92,1.182,0.375,0.054,8,78,1.9,1,146,0,166,45
"Chocolate milk, made from dry mix with low fat milk",65,3.45,10.43,9.69,0.3,1.03,0.673,0.197,0.03,5,54,1.7,1,146,0,166,45
"Chocolate milk, made from dry mix with fat free milk",57,3.5,10.14,9.77,0.3,0.22,0.186,0.016,0.006,3,60,1.7,1,152,0,174,47
"Chocolate milk, made from dry mix with non-dairy milk",59,1.68,10.32,8.99,0.5,1.27,0.272,0.445,0.511,0,66,1.7,1,169,0.32,105,63
"Chocolate milk, made from reduced sugar mix, NS as to type of milk",63,3.59,7.61,5.86,0.4,2.1,1.114,0.499,0.141,8,56,2.4,1.1,159,0.14,224,59
"Chocolate milk, made from reduced sugar mix with whole milk",73,3.53,7.42,5.78,0.4,3.26,1.78,0.75,0.182,11,31,2.4,1.1,157,0.14,217,58
"Chocolate milk, made from reduced sugar mix with reduced fat milk",63,3.6,7.64,5.86,0.4,2.01,1.062,0.474,0.134,8,79,2.5,1.1,160,0.14,226,59
"Chocolate milk, made from reduced sugar mix with low fat milk",56,3.63,7.91,5.92,0.4,1.1,0.543,0.292,0.11,5,55,2.4,1.1,160,0.14,226,59
"Chocolate milk, made from reduced sugar mix with fat free milk",48,3.67,7.63,6.01,0.4,0.27,0.047,0.108,0.085,3,61,2.4,1.1,166,0.14,233,61
"Chocolate milk, made from reduced sugar mix with non-dairy milk",50,1.82,7.81,5.2,0.6,1.34,0.135,0.545,0.6,0,68,2.4,1,183,0.47,163,77
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",72,3.41,10.13,9.63,0.3,2.01,1.232,0.4,0.061,8,55,1.7,1,146,0,164,45
"Chocolate milk, made from dry mix with whole milk (Nesquik)",81,3.36,9.94,9.55,0.3,3.14,1.885,0.646,0.101,11,30,1.7,1,143,0,158,44
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",72,3.42,10.16,9.62,0.3,1.92,1.182,0.375,0.054,8,78,1.9,1,146,0,166,45
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",65,3.45,10.43,9.69,0.3,1.03,0.673,0.197,0.03,5,54,1.7,1,146,0,166,45
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",57,3.5,10.14,9.77,0.3,0.22,0.186,0.016,0.006,3,60,1.7,1,152,0,174,47
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",59,1.68,10.32,8.99,0.5,1.27,0.272,0.445,0.511,0,66,1.7,1,169,0.32,105,63
"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",63,3.59,7.61,5.86,0.4,2.1,1.114,0.499,0.141,8,56,2.4,1.1,159,0.14,224,59
"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",73,3.53,7.42,5.78,0.4,3.26,1.78,0.75,0.182,11,31,2.4,1.1,157,0.14,217,58
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",63,3.6,7.64,5.86,0.4,2.01,1.062,0.474,0.134,8,79,2.5,1.1,160,0.14,226,59
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",56,3.63,7.91,5.92,0.4,1.1,0.543,0.292,0.11,5,55,2.4,1.1,160,0.14,226,59
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",48,3.67,7.63,6.01,0.4,0.27,0.047,0.108,0.085,3,61,2.4,1.1,166,0.14,233,61
